Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/27/2024 14:00:03,Appels,appelsappelsappels,25:56,https://youtu.be/uy8daMdPkNg,Yes
7/26/2024 14:02:57,olive,olive__r,25:59,https://imgur.com/a/w28LUzz,Yes
7/27/2024 17:25:14,Parrot Dash,parrotdash,31:01,https://www.twitch.tv/videos/2209111601,Yes
7/26/2024 15:30:23,unfandemcmillen,unfandemcmillen,30:10 (no vid),https://imgur.com/a/0Q06m01,Yes
7/27/2024 20:42:47,WoahE,woahegg,35:00,https://www.twitch.tv/videos/2209261526,Yes
7/27/2024 4:49:30,三思,三思sansi,40:03,https://www.bilibili.com/video/BV1xx4y1s7m4,Yes
7/27/2024 3:30:38,Guest_,Guest_,41:03,https://imgur.com/a/lb3mMMa,Yes
7/30/2024 8:42:58,ZKB,zkb_,41:35,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
7/30/2024 11:35:46,lem,lemqns,42:53,https://prnt.sc/XQIxQBKFHp2W,Yes
7/26/2024 17:59:43,Rafix,rafix8179,43:25,https://imgur.com/a/Fm5d7Xf,Yes
7/30/2024 11:00:52,juckter,juckter,52:20,https://youtu.be/pstZ4TnflgU,Yes
7/28/2024 21:12:32,JustinTime,JustinTime,52:50,https://imgur.com/a/csc-maps-GkJvTxW,Yes
7/27/2024 3:51:00,He2D,He2D,55:24,https://prnt.sc/wwG5-uYmCwGW,Yes
7/26/2024 14:33:29,Cookie,catastrophic_cookie,58:17,https://imgur.com/gallery/csc-week-7-pelagic-ruins-HS1uK1Y,Yes
7/28/2024 19:39:56,leiz123321,leiz123321,58:33,https://www.youtube.com/watch?v=ogM62xv2XTE&ab_channel=LeiZ,Yes
7/26/2024 15:20:12,10PercentPig,10percentpig,58:43,https://prnt.sc/9b1OEQRv7qG_,Yes
7/28/2024 10:22:38,Sir Jiggle,Sir Jiggle,59:00,https://prnt.sc/fB4ZZQASQj2n,Yes
7/30/2024 11:37:53,DataSmasher327,DataSmasher327,1:00:21,https://imgur.com/a/T8qzIW1,Yes
7/29/2024 14:00:35,Froggo,froggo____,1:00:25,https://prnt.sc/30CN93f15IE_,Yes
7/30/2024 6:38:14,BS_KNK,celebes_knk,1:00:53,https://www.twitch.tv/videos/2209635401,Yes
7/30/2024 2:09:37,conski,conski_,1:01:20,https://youtu.be/z9u8vhukMD8?si=HtNjgmKKFVk0-F0k,Yes
7/28/2024 21:19:03,Ecl1psed,Ecl1psed,1:02:05,https://imgur.com/a/Jehn3O3,Yes
7/27/2024 20:03:00,Bread,Bread,1:02:11,https://prnt.sc/D_0kzugBTIS7,Yes
7/27/2024 2:08:55,ArvingoPro,ArvingoPro,1:04:32,https://imgur.com/RiH0dv8,Yes
7/29/2024 20:02:09,nonoji(のの字),Non0ji,1:08:21,https://imgur.com/a/a77naj5,Yes
7/30/2024 7:10:13,OSoverspike,osoverspike,1:10:46,https://youtu.be/AepAznVTa-k,Yes
7/27/2024 10:20:00,bits像素,bits像素,1:11:26,https://prnt.sc/dU_fzz_2fLBU,Yes
7/27/2024 3:40:00,斯塔,斯塔,1:11:39,https://prnt.sc/JGC2aAr4rbuy,Yes
7/27/2024 11:57:56,Nyan,ppnyan,1:11:45,https://prnt.sc/kDjMgLaZhQKU,Yes
7/28/2024 2:03:21,Player696103392,Player696103392,1:17:51,https://imgur.com/a/8Fk0Fpb,Yes
7/29/2024 23:09:25,Scrubz,Scrubz,1:21:41,https://youtu.be/9F4VO2H-S7M,Yes
7/30/2024 20:09:00,啊鸿呀i,啊鸿呀i,1:25:31,https://prnt.sc/EUl1EgqklRH4,Yes
7/28/2024 0:01:00,SheKong,SheKong,1:25:56,https://prnt.sc/NO-phlQiW8nk,Yes
7/27/2024 13:22:21,Adam Korinek,Adam Korinek,1:40:22,https://prnt.sc/dJY_H0W4YWSW,Yes
7/27/2024 14:09:00,不记得密码,不记得密码,1:45:11,https://prnt.sc/IrUIXsqU3FZx,Yes
7/27/2024 23:05:00,无情的1up机器,无情的1up机器,1:48:18,https://prnt.sc/vOQg4iVS0eT5,Yes
7/30/2024 11:32:49,Goldenfaf,Goldenfaf,1:56:35,https://imgur.com/a/sJ5IrpC,Yes
7/26/2024 17:36:47,Pixel_Yosh,Pixel_Yosh,2:01:04,https://imgur.com/7vMxJCW,Yes
7/28/2024 20:02:09,im_pickle_sus,im_pickle_sus,2:06:59,https://imgur.com/a/osQxv1K,Yes
7/28/2024 14:17:00,zhujiao,zhujiao,2:12:39,https://prnt.sc/yrIyeQNMIBl9,Yes
7/29/2024 8:57:07,te_79,te_79,2:41:51,https://imgur.com/a/1gqF5rQ,Yes
7/30/2024 19:08:00,ALSIHCT,ALSIHCT,2:50:31,https://prnt.sc/0VAdO50KyyWX,Yes
7/28/2024 21:07:28,NagKai,NagKai,2:51:33,https://discord.com/channels/912804360331874355/1249796816254533665/1267317250331771032,Yes
7/27/2024 13:05:22,Keehle,keehle,3:01:16,https://imgur.com/a/yp3yGCP,Yes
7/27/2024 6:29:25,Snowdrop,Snowdrop_rikka,3:18:05,https://imgur.com/a/LfYxqj4,Yes
7/27/2024 17:56:41,Pip,pipadmin,3:22:07,https://imgur.com/7yM8qlK,Yes
