Timestamp,What is your username?,What is your discord username?,How many deaths did you get?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/14/2024 11:44:45,WoahE,woahegg,133,https://www.twitch.tv/videos/2197583895,Yes
7/14/2024 17:48:38,Parrot Dash,parrotdash,136,https://www.twitch.tv/videos/2197848335,Yes
7/14/2024 13:01:00,ZKB,zkb_,151,https://youtu.be/ANEtM28_gFw,Yes
7/14/2024 15:09:35,Appels,appelsappelsappels,227,https://youtu.be/L9CRg7dxnZk,Yes
7/14/2024 15:09:35,Rafix,rafix,252,https://imgur.com/a/iuNnQQN,Yes
7/13/2024 3:35:03,三思,三思sansi,264,https://www.bilibili.com/video/BV1vb421n76r,Yes
7/13/2024 3:35:03,olive,olive,272,https://imgur.com/a/yjKnCnr,Yes
7/16/2024 10:47:48,pachi,ben.pachi,274,https://imgur.com/a/5GdgVih,Yes
7/13/2024 2:49:33,Guest_,Guest_,289,https://imgur.com/a/Gjh1RZZ,Yes
7/13/2024 1:36:41,Ecl1psed,Ecl1psed,313,https://imgur.com/5Pv7nJG,Yes
2024/7/13 4:00,He2D,He2D,320,,Yes
7/12/2024 20:41:38,lem,lemqns,362,https://prnt.sc/twTAoBclzNGF,Yes
7/12/2024 14:02:42,Whiskeyjack,whiskeyjack3741,382,https://cdn.discordapp.com/attachments/1249796816254533665/1261411522106888324/SPOILER_20240712195543_1.jpg?ex=6692dc86&is=66918b06&hm=af15b639e0e212be2a73bcd86cafecdcabf9d8d94fc40156eb3126882b4b0072&,Yes
7/12/2024 14:05:24,CVZen,cvzen,391,https://imgur.com/a/YK5feO0,Yes
7/15/2024 17:40:23,unfandemcmillen,unfandemcmillen,410,https://imgur.com/a/azIZo1n,Yes
7/16/2024 14:41:49,BS_KNK,celebes_knk,465,https://i.imgur.com/JorDa8n.png,Yes
7/12/2024 14:43:51,Rainbow,rainbow._,494,https://imgur.com/a/s2OH5wA,Yes
7/12/2024 19:08:23,rilp_,rilp_,509,https://imgur.com/a/ZY9bRbf,Yes
2024/7/13 14:51,Winterline,Winterline,511,,Yes
7/16/2024 14:41:49,juckter,juckter,557,https://imgur.com/a/ANNJUz3,Yes
2024/7/13 14:45,没事儿爱唱歌,没事儿爱唱歌,557,,Yes
7/14/2024 6:22:38,Tnt_go_bang,tntgobang,575,https://imgur.com/a/8VxLXdB,Yes
7/13/2024 4:27:29,AmberBolt,amber_bolt,585,https://youtu.be/KDqrgbm5AnM,Yes
7/13/2024 8:08:30,kitkat,comfykit_,587,https://imgur.com/a/4VBtsaz,Yes
7/13/2024 20:00:47,thebigcup,thebigcup,608,https://imgur.com/6MCj3a9,Yes
2024/7/13 16:06,桦树ovo,桦树ovo,612,https://www.bilibili.com/video/BV1PS411w7aW/?vd_source=b53df03e226b1a7792dc35d1ad643f32,Yes
7/14/2024 7:02:19,ArvingoPro,ArvingoPro,618,https://imgur.com/a/5qqOW8E,Yes
7/13/2024 15:22:59,Nebulae,Tychos_Nova,655,https://imgur.com/a/hAsfQz3,Yes
2024/7/13 13:59,啊鸿呀i,啊鸿呀i,662,,Yes
7/15/2024 11:37:57,leiz123321,leiz123321,679,https://imgur.com/a/EOrgQwt,Yes
7/15/2024 13:22:21,Sir Jiggle,Sir Jiggle,687,https://prnt.sc/JQUUFoTDIkDL,Yes
7/15/2024 3:29:53,OSoverspike,osoverspike,732,https://youtu.be/9aPBfTNWPvk,Yes
7/16/2024 14:21:54,Froggo,froggo____,773,https://imgur.com/a/wy8hYv7,Yes
7/14/2024 8:13:25,Nene,nene22,796,https://prnt.sc/RDMhtX9rV5f_,Yes
7/12/2024 14:55:59,Viv,vividescence,812,https://imgur.com/a/MwnNR95,Yes
7/15/2024 15:33:20,Firework,@vuurwerkgd,920,https://discord.com/channels/912804360331874355/1249796816254533665/1262520622823510207,Yes
2024/7/13 11:38,mogmo,mogmo,974,,Yes
7/16/2024 13:24:21,Scrubz,Scrubz,1078,https://youtu.be/y6slnG9Mt40,Yes
7/14/2024 15:09:15,Pixel_Yosh,Pixel_Yosh,1306,https://imgur.com/ThprY7g,Yes
7/16/2024 14:41:45,nonoji(のの字),Non0ji,1394,https://imgur.com/a/kmzFisO,Yes
7/16/2024 14:41:49,Nyan,Nyan,1463,https://imgur.com/a/ZtWQQIj,Yes
7/15/2024 11:49:28,Player696103392,Player696103392,2307,https://imgur.com/a/z2CRYgK,Yes
7/13/2024 21:43:52,te_79,te_79,2508,https://imgur.com/a/bjTPQao,Yes
2024/7/13 14:36,zhujiao,zhujiao,2769,,Yes
7/13/2024 8:17:19,Adam Korinek,Adam Korinek,2850,https://prnt.sc/b8mNbwkoxPp4,Yes
7/14/2024 7:42:57,Snowdrop,Snowdrop_rikka,4233,https://imgur.com/a/pkPMdB7,Yes
