Timestamp,What is your username?,What is your discord username?,What was your last room reached + time? (view https://gamebanana.com/mods/510490 for more time instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/22/2024 15:51:18,olive,olive__r,50:32,https://youtu.be/Az80MoCR5P8,Yes
7/20/2024 1:16:46,三思,三思sansi,56:51,https://www.bilibili.com/video/BV17b42177iw,Yes
7/20/2024 2:41:44,Guest_,Guest_,59:39,https://imgur.com/a/1p5ZyBM,Yes
7/20/2024 9:59:05,ZKB,zkb_,1:01:31,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
7/21/2024 12:46:53,juckter,juckter,1:04:34,https://youtu.be/XT1KmX9PkHw,Yes
7/21/2024 8:40:49,WoahE,woahegg,1:08:11,https://www.twitch.tv/videos/2203493558,Yes
7/23/2024 15:07:43,Parrot Dash,Parrot_Dash,1:08:40,https://www.twitch.tv/videos/2206405596,Yes
7/19/2024 15:08:07,Rafix,rafix8179,1:21:11,https://imgur.com/a/wNwmAZT,Yes
7/20/2024 13:31:14,rilp_,rilp_,1:21:54,https://imgur.com/a/Y4iAa7G,Yes
7/22/2024 13:32:20,lem,lemqns,1:25:11,https://prnt.sc/4dbTuxGFrQg1,Yes
7/20/2024 3:15:08,Whiskeyjack,whiskeyjack3741,1:31:29,https://cdn.discordapp.com/attachments/1249796816254533665/1264148364157780050/SPOILER_20240720091255_1.jpg?ex=669cd168&is=669b7fe8&hm=516289a2e3d5b436604da04ef14caf7cc1512e401212336f18a5ea965f87c651&,Yes
7/19/2024 15:46:45,Cookie,catastrophic_cookie,1:39:37,https://imgur.com/gallery/csc-week-6-forest-IvsZJR9,Yes
7/20/2024 18:37:00,SheKong,SheKong,1:41:12,https://prnt.sc/jMQjGcK2Quxk,Yes
7/20/2024 10:28:00,Winerline,Winerline,1:41:49,https://www.bilibili.com/video/BV1Sy411e7Yc/,Yes
7/23/2024 10:12:23,Appels,appelsappelsappels,1:42:49,https://imgur.com/a/cnJl2eu,Yes
7/22/2024 11:28:08,NCG,NCG337,1:43:28,https://www.youtube.com/watch?v=FbIB84jnGrQ,Yes
7/19/2024 22:29:41,DataSmasher327,DataSmasher327,1:43:35,https://imgur.com/a/JPJXzKS,Yes
7/20/2024 2:28:42,unfandemcmillen,unfandemcmillen,1:43:45,https://imgur.com/a/bPoM7v4,Yes
7/21/2024 10:03:00,啊鸿呀i,啊鸿呀i,1:45:28,https://prnt.sc/20PY_E9EINtV,Yes
7/20/2024 12:54:23,leiz123321,leiz123321,1:46:02,https://imgur.com/a/0njIOWe,Yes
7/23/2024 0:08:30,Kazt,kazt,1:46:29,https://imgur.com/a/EAuYd9m,Yes
7/22/2024 14:01:46,nonoji(のの字),Non0ji,1:50:38,https://imgur.com/a/8K6C7yc,Yes
7/21/2024 2:52:27,BS_KNK,celebes_knk,1:51:16,https://www.twitch.tv/videos/2203329690,Yes
7/23/2024 15:56:00,Bread,Bread,1:59:27,https://prnt.sc/5g-YAdBaVV3T,Yes
7/22/2024 0:02:59,Sir Jiggle,Sir Jiggle,2:01:58,https://imgur.com/a/J9ttqLo,Yes
7/21/2024 8:20:57,OSoverspike,osoverspike,2:19:51,https://youtu.be/LVLROfBasEs,Yes
7/20/2024 2:49:28,ArvingoPro,ArvingoPro,2:22:25,https://imgur.com/VbAGZqc,Yes
7/23/2024 12:21:51,Froggo,froggo____,2:23:28,https://prnt.sc/XoyHjcxLMKQw,Yes
7/20/2024 5:35:00,桦树ovo,桦树ovo,2:26:32,https://prnt.sc/OG1ECIV99I5n,Yes
7/20/2024 14:53:00,没事儿爱唱歌,没事儿爱唱歌,2:38:30,https://prnt.sc/lAxhgowYjEhX,Yes
7/20/2024 22:41:00,不记得密码,不记得密码,2:44:54,https://prnt.sc/mP0jmY1e3IQ5,Yes
7/23/2024 11:33:43,Scrubz,Scrubz,2:49:43,https://youtu.be/RE_KdzaBzAU,Yes
7/22/2024 11:27:13,Player696103392,Player696103392,2:56:51,https://imgur.com/a/kKoApMu,Yes
7/23/2024 8:00:28,te_79,te_79,3:22:48,https://imgur.com/a/hkMALuO,Yes
7/20/2024 15:11:46,Im_pickle_sus,im_pickle_sus,3:37:45,https://imgur.com/a/No2MfDx,Yes
7/22/2024 20:09:48,dicegeist,dicegeist,3:39:56,https://prnt.sc/9DbJVrUb7OoM,Yes
7/22/2024 11:59:09,Pixel_Yosh,Pixel_Yosh,"Room 10, 3:58:09",https://imgur.com/a/c5JXxCt,Yes
7/20/2024 14:26:00,zhujiao,zhujiao,"Room 8, 3:10:31",https://prnt.sc/N-NLv8OHtVGM,Yes
7/21/2024 10:20:41,Snowdrop,Snowdrop_rikka,"Room 6, 3:28:22",https://imgur.com/a/8slxzUm,Yes
7/22/2024 20:28:22,Pip,pipadmin,"Room 4, 3:59:59",https://imgur.com/a/RhoMIGN,Yes
7/19/2024 14:15:25,GlerG,glerg,"Room 3, 41:00",https://imgur.com/a/emxdHR6,Yes
7/20/2024 14:26:00,Nyan,Nyan,"Room 1, 0:00",https://prnt.sc/1_aCR0fPmoCD,Yes
