Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
8/23/2024 16:43:48,Appels,appelsappelsappels,1:07:09,https://youtu.be/fZ4mP4zawok,Yes
8/25/2024 8:41:51,Guest_,Guest_,1:09:03,https://www.youtube.com/playlist?list=PLR63VmDdmhFDifFfGfhXPnbNZ65fhXOz8,Yes
8/26/2024 11:58:41,Player696103392,Player696103392,1:15:29,https://imgur.com/a/v6LDutD,Yes
8/25/2024 21:58:00,lem,lemqns,1:49:33,https://prnt.sc/v9fv-6vKDGI0,Yes
