Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
8/9/2024 14:58:54,olive,olive__r,43:07,https://imgur.com/a/w5F4KPF,Yes
8/12/2024 18:04:14,Rafix,rafix#8179,45:11,https://imgur.com/a/m7uCkkI,Yes
8/11/2024 4:50:51,Guest_,Guest_,46:37,https://youtu.be/WRClBvbPzyU,Yes
8/10/2024 2:05:43,unfandemcmillen,unfandemcmillen,44:29 (no vid),https://imgur.com/a/5FsB2QL,Yes
8/13/2024 19:55:03,ZKB,ZKB,48:29,https://youtu.be/vNiVEoNJhj8,Yes
8/13/2024 19:55:03,bits像素,bits像素,54:59,https://prnt.sc/tK4L_tpKTBfB,Yes
8/13/2024 19:55:03,Appels,Appels,56:27,https://youtu.be/gnNV82OjjGA,Yes
8/11/2024 10:10:17,Cookie,catastrophic_cookie,56:52,https://imgur.com/gallery/csc-week-8-altered-tower-remnants-uVGLkyG,Yes
8/9/2024 15:17:57,DataSmasher327,DataSmasher327,1:04:07,https://imgur.com/a/pDfaoK5,Yes
8/10/2024 12:51:56,Whiskeyjack,whiskeyjack3741,1:04:56,https://cdn.discordapp.com/attachments/1249796816254533665/1271577619099549707/SPOILER_20240809211438_1.jpg?ex=66b88131&is=66b72fb1&hm=9a95fe45a2d37ffbf4e641eef088f6c500fc98bd091f0812f46b4e173945520a&,Yes
8/13/2024 9:02:22,Parrot Dash,parrotdash,1:06:45,https://prnt.sc/IzdYuH9Hvhea,Yes
8/13/2024 6:45:25,BS_KNK,celebes_knk,1:15:48,https://i.imgur.com/vvghP0v.png,Yes
8/13/2024 19:55:03,Bread,Bread,1:16:44,https://prnt.sc/ML2Mj13yBr-j,Yes
8/11/2024 9:46:16,leiz123321,leiz123321,1:17:20,https://imgur.com/a/rHAEXL5,Yes
8/11/2024 4:49:13,AmberBolt,amber_bolt,1:19:16,https://youtu.be/HIW_GrXjERk,Yes
8/13/2024 13:14:51,lem,lemqns,1:21:56,https://prnt.sc/Z0zjaULW0jdu,Yes
8/13/2024 19:55:03,OSoverspike,osoverspike,1:22:01,https://youtu.be/9HpYGUoNVmE,Yes
8/10/2024 12:57:14,nonoji(のの字),Non0ji,1:22:57,https://imgur.com/a/WzgQ1x9,Yes
8/9/2024 17:39:54,Adam Korinek,Adam Korinek,1:28:07,https://prnt.sc/JWWz2zi-DJH6,Yes
8/13/2024 11:55:50,juckter,juckter,1:28:50,https://imgur.com/a/hqiy4uj,Yes
8/13/2024 19:55:03,啊鸿呀i,啊鸿呀i,1:39:39,https://prnt.sc/j4F-6o_CSXw0,Yes
8/12/2024 7:47:05,Player696103392,Player696103392,1:42:43,https://imgur.com/a/yODsZrB,Yes
8/12/2024 15:38:58,Tnt_go_bang,tntgobang,1:44:14,https://imgur.com/a/kFHfNUj,Yes
8/13/2024 19:55:03,不记得密码,不记得密码,1:54:10,https://prnt.sc/wzjYAhAMcMCS,Yes
8/13/2024 11:49:34,Scrubz,Scrubz,1:54:36,https://youtu.be/KxxSxjtuGrE,Yes
8/12/2024 15:51:40,Pixel_Yosh,Pixel_Yosh,1:55:24,https://imgur.com/77ICpfa,Yes
8/13/2024 7:34:42,te_79,te_79,2:21:17,https://imgur.com/a/QNqdsdL,Yes
8/11/2024 2:57:49,InfinityLake,infinity_lake,2:32:28,https://imgur.com/a/RgYwSnP,Yes
8/13/2024 19:55:03,zhujiao,zhujiao,3:17:57,https://prnt.sc/Pm05FLNrodHU,Yes
8/10/2024 3:31:02,Snowdrop,Snowdrop_rikka,3:35:54,https://imgur.com/a/6fZJR9W,Yes
8/10/2024 5:57:36,Keehle,keehle,3:42:16,https://imgur.com/a/mquzg5Q,Yes
