Timestamp,What is your username?,What is your discord username?,What was your clear time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/17/2024 3:56:39,ZKB,zkb_,4:40,https://youtu.be/ivz5DbSwKWg,Yes
9/14/2024 7:37:06,Rafix,rafix#8179,10:08,https://youtu.be/_TLpJcY9_gw,Yes
9/14/2024 18:12:34,Parrot Dash,parrotdash,10:56,https://www.twitch.tv/videos/2251277888,Yes
9/14/2024 14:14:10,CVZen,cvzen,9:52 (no video),https://imgur.com/a/EWd37xb,Yes
9/13/2024 17:06:59,Appels,appelsappelsappels,12:05,https://youtu.be/4QuoRfC7nUA,Yes
9/13/2024 12:15:34,Whiskeyjack,whiskeyjack3741,12:52,https://cdn.discordapp.com/attachments/1249796816254533665/1284230799323037818/SPOILER_20240913191433_1.jpg?ex=66e5e0a2&is=66e48f22&hm=07733eb8450d66768e9a332e5225c9f0f39bae9e84fac4d9f4965329cb3ebc2a&,Yes
9/13/2024 21:26:45,Guest_,Guest_,13:36,https://youtu.be/t_1ujFDQ9nQ,Yes
9/13/2024 12:46:41,juckter,juckter,16:38,https://prnt.sc/9C10YhaxEvQw,Yes
9/17/2024 11:11:03,Bread,Bread,24:54,https://prnt.sc/VC1Yt2c7XK3D,Yes
9/16/2024 6:55:29,BS_KNK,celebes_knk,25:41,https://i.imgur.com/ohPYKde.png,Yes
9/17/2024 11:11:03,啊鸿呀i,啊鸿呀i,26:34,https://prnt.sc/y2G1fW94S1V9,Yes
9/14/2024 22:16:42,Nyan,ppnyan,27:09,https://prnt.sc/ouZfAuI5AsK-,Yes
9/14/2024 9:33:44,AmberBolt,amber_bolt,28:23,https://youtu.be/0KlI1dBRh1U,Yes
9/17/2024 2:14:06,Player696103392,Player696103392,32:04,https://imgur.com/a/e41kF5o,Yes
9/13/2024 16:38:23,Adam Korinek,Adam Korinek,33:39,https://prnt.sc/-US4LAjOpckd,Yes
9/17/2024 11:11:03,不记得密码,不记得密码,42:07,https://prnt.sc/G7HJD3d2UKlf,Yes
9/17/2024 11:11:03,Scrubz,Scrubz,42:40,https://youtu.be/LUiZjMhbU7Q,Yes
9/15/2024 1:24:56,Snowdrop,Snowdrop_rikka,1:20:14,https://imgur.com/a/9vFtecF,Yes
9/17/2024 9:00:22,Pixel_Yosh,Pixel_Yosh,1:23:25,https://imgur.com/x4yLdxa,Yes
9/17/2024 6:22:58,Wojowu,wojowu,1:24:36,https://prnt.sc/eZYozsnE7mpt,Yes
9/16/2024 13:39:19,NagKai,NagKai,1:29:29,https://discord.com/channels/912804360331874355/1249796816254533665/1285339009802964992,Yes
