Timestamp,What is your username?,What is your discord username?,What was your clear time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/7/2024 1:39:56,Guest_,Guest_,24:54,https://youtu.be/r2_RAIR_5pw,Yes
9/10/2024 10:00:28,ZKB,zkb_,25:28,https://youtu.be/8XBQoqjYIZg,Yes
9/8/2024 21:10:41,lem,lemqns,25:49,https://www.youtube.com/watch?v=jOQhX0iBXew,Yes
9/7/2024 14:29:31,leiz123321,leiz123321,24:23 (no vid),https://imgur.com/a/cs8hBvc,Yes
9/11/2024 1:24:16,Appels,appelsappelsappels,27:12,https://youtu.be/ZQzU1CI1ieA,Yes
9/6/2024 12:47:26,Cookie,catastrophic_cookie,29:20,https://imgur.com/gallery/csc-week-12-crystal-dash-xidJbJ6,Yes
9/6/2024 11:53:39,Whiskeyjack,whiskeyjack3741,34:54,https://cdn.discordapp.com/attachments/1249796816254533665/1281688476638777344/SPOILER_20240906185146_1.jpg?ex=66dca0e9&is=66db4f69&hm=72c3b2482c0e648ec1459dc287bbd963610d7c3833eb1a3d8021d591c75a6b5a&,Yes
9/6/2024 15:11:48,unfandemcmillen,unfandemcmillen,39:08,https://imgur.com/a/PgKVS7F,Yes
9/8/2024 9:20:52,Parrot Dash,parrotdash,41:50,https://www.twitch.tv/videos/2245968947,Yes
9/8/2024 3:40:02,Player696103392,Player696103392,42:32,https://imgur.com/a/JW9Io9y,Yes
9/8/2024 0:21:08,AmberBolt,amber_bolt,43:55,https://youtu.be/QuRor01Vlhc,Yes
9/6/2024 12:43:36,juckter,juckter,44:00,https://prnt.sc/TSpq4yIe9ONL,Yes
9/7/2024 6:42:08,DarkLeviathan8,DarkLeviathan8,46:37,https://prnt.sc/tbBp1pvM4DtN,Yes
9/8/2024 18:48:12,Nyan,ppnyan,49:31,https://prnt.sc/n7k_j1qhIdAI,Yes
9/7/2024 10:49:14,BS_KNK,celebes_knk,51:46,https://i.imgur.com/E7wzQ7e.png,Yes
9/7/2024 21:04:50,Pixel_Yosh,Pixel_Yosh,57:52,https://imgur.com/5hEZLcb,Yes
9/8/2024 22:54:35,Scrubz,Scrubz,58:28,https://youtu.be/CL7jfoVOV20,Yes
9/8/2024 12:09:59,Terus,terus3289,1:08:18,https://prnt.sc/13LboHvmttEP,Yes
9/8/2024 19:18:25,Brst,Brst,1:19:01,https://youtu.be/XXQ10OF0M0M,Yes
9/6/2024 12:36:33,Wojowu,wojowu,1:19:09,https://prnt.sc/dYosaPtjyRva,Yes
9/7/2024 6:16:02,te_79,te_79,1:23:53,https://imgur.com/a/QfKuPaP,Yes
9/6/2024 13:01:51,Snowdrop,Snowdrop_rikka,1:24:05,https://imgur.com/a/wZ7UM0H,Yes
9/10/2024 13:39:18,NagKai,NagKai,1:36:21,https://discord.com/channels/912804360331874355/1249796816254533665/1283164720739651644,Yes
9/6/2024 19:03:50,serekabii,serekabii,1:40:21,:goodvibes:,Yes
9/10/2024 1:17:46,P2,P2shka,2:44:39,https://imgur.com/2CCkrLP,Yes
9/7/2024 15:59:19,JazzyJonah,jazzyjonah,3:16:16,https://imgur.com/a/d3AC8Mj,Yes
