Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/20/2024 9:58:45,ZKB,zkb_,11:08,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
7/20/2024 1:17:27,三思,三思sansi,12:04,https://www.bilibili.com/video/BV12w4m1k7fQ,Yes
7/21/2024 8:38:32,WoahE,woahegg,12:26,https://www.twitch.tv/videos/2203492280,Yes
7/20/2024 2:40:48,Guest_,Guest_,11:34 (no vid),https://imgur.com/a/1p5ZyBM,Yes
7/22/2024 13:40:37,olive,olive__r,12:35,https://youtu.be/q6R65Zu8ZoA,Yes
7/19/2024 12:53:49,Rafix,rafix8179,13:27,https://imgur.com/a/0sMYEKH,Yes
7/21/2024 2:45:43,BS_KNK,celebes_knk,13:34,https://www.twitch.tv/videos/2203328686,Yes
7/19/2024 22:27:27,DataSmasher327,DataSmasher327,14:10,https://imgur.com/a/7Q7fncD,Yes
7/20/2024 2:29:17,unfandemcmillen,unfandemcmillen,14:16,https://imgur.com/a/ppjApeC,Yes
7/23/2024 15:07:43,Parrot Dash,Parrot_Dash,15:26,https://www.twitch.tv/videos/2206405596,Yes
7/22/2024 11:26:12,NCG,NCG337,15:32,https://www.youtube.com/watch?v=iSq-1fbBd6E,Yes
7/19/2024 12:43:02,Whiskeyjack,whiskeyjack3741,15:39,https://cdn.discordapp.com/attachments/1249796816254533665/1263928168062910544/SPOILER_20240719183618_1.jpg?ex=669c0455&is=669ab2d5&hm=f24895ba2fbfc9493ecf362b9e1c2791c8760ba81a69ca405b32b762022ff89e&,Yes
7/21/2024 2:17:53,wafflemaster608,wafflemaster608,15:48,https://imgur.com/a/GApu4SM,Yes
7/23/2024 10:09:51,Appels,appelsappelsappels,15:58,https://youtu.be/Q5NFh-OJ8EQ,Yes
7/20/2024 3:41:00,He2D,He2D,17:20,https://prnt.sc/S_PwlS5NKjJ9,Yes
7/20/2024 13:14:48,nonoji(のの字) ,Non0ji,17:45,https://imgur.com/a/CCkhWyP,Yes
7/22/2024 23:59:08,Ecl1psed,Ecl1psed,17:52,https://imgur.com/PmnDffF,Yes
7/23/2024 12:21:16,Froggo,froggo____,18:10,https://prnt.sc/pWEtbsxuR6IG,Yes
7/23/2024 15:07:43,Feesh,Feesh,18:27,https://prnt.sc/YRqH3Hy2PdEN,Yes
7/21/2024 12:03:22,juckter,juckter,18:34,https://youtu.be/GHK4h1cB7-k,Yes
7/20/2024 10:06:00,啊鸿呀i,啊鸿呀i,18:43,https://prnt.sc/NU36YCkYRQ5J,Yes
7/23/2024 1:33:21,winter,winter.mrrow,18:57,https://www.twitch.tv/videos/2205021455,Yes
7/20/2024 10:31:00,Winterline,Winterline,19:26,https://www.bilibili.com/video/BV1Sy411e7Yc/,Yes
7/23/2024 5:21:02,Tnt_go_bang,tntgobang,19:46,https://imgur.com/a/PVMRr9k,Yes
7/20/2024 10:53:12,leiz123321,leiz123321,19:55,https://www.youtube.com/watch?v=Shs5-AsgVzw&ab_channel=LeiZ,Yes
7/20/2024 12:01:00,没事儿爱唱歌,没事儿爱唱歌,20:08,https://prnt.sc/5tJ7oTYJkB53,Yes
7/20/2024 21:19:25,yujene,yujene,21:16,https://imgur.com/a/geiafT9,Yes
7/22/2024 13:25:46,lem,lemqns,21:27,https://prnt.sc/SeULp2JgBfZh,Yes
7/19/2024 13:13:19,Cookie,catastrophic_cookie,22:01,https://imgur.com/gallery/csc-week-6-counterclockwise-rFbScLp,Yes
7/19/2024 12:43:52,Yoshachobi7,Yoshachobi7,22:12,https://www.youtube.com/live/CssNIyK0hw4,Yes
7/19/2024 12:55:41,Rainbow,rainbow._,22:22,https://discord.com/channels/912804360331874355/1249796816254533665/1263929125970772008 ,Yes
7/20/2024 2:32:00,AmberBolt,amber_bolt,22:58,https://youtu.be/lbtIkB4JU9w,Yes
7/20/2024 20:04:37,Sapphire_Xer0,Sapphire_Xer0,23:00,https://imgur.com/UnaXQtJ,Yes
7/20/2024 16:13:00,SheKong,SheKong,24:14,https://prnt.sc/RwzhO738YeIs,Yes
7/22/2024 20:08:51,dicegeist,dicegeist,24:50,https://prnt.sc/I34cOKRyWsqW,Yes
7/19/2024 19:13:29,JustinTime,JustinTime,25:09,https://imgur.com/a/GkJvTxW,Yes
7/23/2024 17:03:49,Kazt,kazt,26:14,https://imgur.com/q8f3spW,Yes
7/20/2024 4:46:00,mogmo,mogmo,26:40,https://prnt.sc/GxbI2-q3Sy9r,Yes
7/20/2024 5:30:00,桦树ovo,桦树ovo,27:53,https://prnt.sc/CR_EGjp7X-1O,Yes
7/19/2024 12:51:37,rilp_,rilp_,28:56,https://imgur.com/a/2Rue5fd,Yes
7/20/2024 15:37:00,不记得密码,不记得密码,29:16,https://prnt.sc/pcaV0l-Uly1x,Yes
7/20/2024 10:49:00,付雪,付雪,29:19,https://prnt.sc/ibqUxRD-8gqx,Yes
7/20/2024 2:52:46,ArvingoPro,ArvingoPro,29:24,https://imgur.com/qwYeALP ,Yes
7/23/2024 11:33:40,Scrubz,Scrubz,30:53,https://youtu.be/RE_KdzaBzAU,Yes
7/22/2024 0:03:27,Sir Jiggle,Sir Jiggle,31:30,https://imgur.com/4BrnMyX,Yes
7/22/2024 8:36:30,BirdoPrey,.birdoprey,32:09,https://imgur.com/a/qbBTCwM,Yes
7/20/2024 14:01:00,Bread,Bread,34:05,https://prnt.sc/nkdSjkx-ogUR,Yes
7/19/2024 16:01:20,burgerhex,burgerhex,35:18,https://imgur.com/a/eN5BTv6,Yes
