Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
10/8/2024 4:44:42,Parrot Dash,Parrot Dash,27:37,https://www.twitch.tv/videos/2272089473,Yes
10/6/2024 12:01:17,Cookie,catastrophic_cookie,44:42,https://youtu.be/nWNsbFQrtD4,Yes
10/7/2024 13:39:56,Appels,appelsappelsappels,46:39,https://youtu.be/cZHzHYuD1Yk,Yes
10/4/2024 19:16:03,Guest_,Guest_,20:33 (no vid),https://imgur.com/a/LHU9Bja,Yes
10/8/2024 4:44:42,Bread,Bread,48:00,https://prnt.sc/s2MKViUD2Khk,Yes
10/6/2024 4:45:33,Player696103392,Player696103392,49:30,https://imgur.com/a/gOIof56,Yes
10/7/2024 13:05:11,Whiskeyjack,whiskeyjack3741,49:30,https://www.youtube.com/watch?v=rZhhFKmYf84,Yes
10/8/2024 4:44:42,DuckUwU,DuckUwU,55:09,https://imgur.com/q6yVLsH,Yes
10/4/2024 12:58:56,juckter,juckter,56:42,https://prnt.sc/rM4uw8XybcPi,Yes
10/6/2024 8:08:28,AmberBolt,amber_bolt,1:00:26,https://youtu.be/b2APMJRKr2M,Yes
10/4/2024 15:52:33,GlerG,glerg,1:21:56,https://imgur.com/a/pPJbaVB,Yes
10/4/2024 13:59:32,Toby,tc_28683,1:25:06,https://imgur.com/a/WBVK46O,Yes
10/5/2024 18:01:52,Pixel_Yosh,Pixel_Yosh,1:28:30,https://imgur.com/trsC0xx,Yes
10/5/2024 12:05:01,Keehle,keehle,1:39:00,https://imgur.com/a/xTtJpTJ,Yes
10/4/2024 14:36:26,Snowdrop,Snowdrop_rikka,1:40:50,https://imgur.com/a/ZcvUhzX,Yes
10/6/2024 14:40:49,Wojowu,wojowu,1:42:45,https://prnt.sc/NgkrlI7KbFUW,Yes
