Timestamp,What is your username?,What is your discord username?,What was your score? (view https://gamebanana.com/mods/505080 for more calculation instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/5/2024 14:42:34,Froggo,froggo____,2:46,https://imgur.com/a/eQ92rnI,Yes
7/6/2024 11:09:38,True Gaming,TrueRhiannon,6:42,https://www.youtube.com/watch?v=xGspYQmMJ7c,Yes
7/9/2024 14:53:38,Goldenfaf,Goldenfaf,7:09,https://imgur.com/a/DbdlDZM,Yes
7/6/2024 11:47:53,unfandemcmillen,unfandemcmillen,11:13,https://imgur.com/a/1mwSnce,Yes
7/7/2024 4:32:27,ZKB,zkb_,14:12,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
7/6/2024 7:40:46,OSoverspike,osoverspike,14:24,https://youtu.be/_5h-1GxA3nU,Yes
7/8/2024 23:35:57,Sir Jiggle,Sir Jiggle,14:42,https://prnt.sc/w-r2AFJ7T8MT,Yes
7/5/2024 13:17:22,DarkLeviathan8,DarkLeviathan8,16:06,https://prnt.sc/UMfDqfTL15jh,Yes
7/5/2024 13:49:44,sadisyourlife,sadisyourlife.,20:09,https://gyazo.com/e7f81c55b2e94ad7d7f71fe35c1b5b2c,Yes
7/6/2024 16:19:49,leiz123321,leiz123321,21:11,https://imgur.com/a/leiz123321-klotski2-mFNewlF,Yes
7/7/2024 4:49:05,Player696103392,Player696103392,22:34,https://imgur.com/a/W9Uwp7v,Yes
7/8/2024 17:35:11,shiige,shiige (shii_ge),22:39,https://imgur.com/2dkRT6S,Yes
7/6/2024 1:04:35,sssxxxx__,sssxxxx__,22:48,https://www.bilibili.com/video/BV1zS411c7TF/?spm_id_from=333.999.0.0&vd_source=37c400e6235c238585c7262fc5742f49,Yes
7/5/2024 17:53:31,yujene,yujene,23:04,https://imgur.com/a/yujene-csc-week-4-wLLMTxM,Yes
7/5/2024 13:55:22,Esteban24,Esteban24,23:56,https://imgur.com/a/e8cIkb8,Yes
2024/7/6 8:55,不可逆,不可逆,24:34,https://www.bilibili.com/video/BV1n1421b71S/?p=2,Yes
7/6/2024 0:51:33,三思,三思sansi,24:39,https://www.bilibili.com/video/BV11z421z7u4/,Yes
7/5/2024 19:11:56,miyaryu,miyaryu,24:51,https://imgur.com/a/BJP9eJn,Yes
7/6/2024 10:36:39,Rainbow,rainbow._,24:56,https://discord.com/channels/912804360331874355/1249796816254533665/1259185970046308513,Yes
7/9/2024 11:37:52,Feesh,pufferfeesh_,25:05,https://imgur.com/a/IGWCpPF,Yes
7/5/2024 14:54:24,Vincent,i.am.vincent,25:11,https://imgur.com/a/UjHohEN,Yes
7/9/2024 15:22:22,B1ackZer0,B1ackZer0,25:16,https://imgur.com/a/agKSYTb,Yes
7/9/2024 2:30:56,autumn890,autumn890,25:21,https://imgur.com/a/padMCV5,Yes
7/5/2024 14:04:29,Whiskeyjack,whiskeyjack3741,25:59,https://cdn.discordapp.com/attachments/1249796816254533665/1258876042907484301/SPOILER_20240705200234_1.jpg?ex=6689a32d&is=668851ad&hm=d7ffd9a4ae3f8e628c2bfe96bb8ac6eed63e4fccde2e2c6e56482b703c887b0f&,Yes
7/5/2024 14:02:39,Firework,@vuurwerkgd,26:28,https://discord.com/channels/912804360331874355/1249796816254533665/1258874928032125118,Yes
2024/7/6 15:27,SheKong,SheKong,26:31,https://imgur.com/a/055RDY3,Yes
7/5/2024 14:26:03,Tnt_go_bang,tntgobang,27:02,https://imgur.com/a/VX92JY1,Yes
2024/7/6 13:37,创世Creater,创世Creater,27:52,https://imgur.com/a/13tXai6,Yes
7/5/2024 14:32:28,Nyan,ppnyan,27:59,https://prnt.sc/fFPmceUx9MD6,Yes
2024/7/6 11:07,zhujiao,zhujiao,28:01,https://www.bilibili.com/video/BV1c142187MD,Yes
7/7/2024 14:57:30,lem,lemqns,29:29,https://prnt.sc/9tVjFwruiRl6,Yes
7/9/2024 8:32:04,Feunnec,Feunnec,29:34,https://imgur.com/a/WGXU0pi,Yes
2024/7/9 19:02,Bread,Bread,29:39,https://imgur.com/a/IPxu5U9,Yes
7/8/2024 4:07:30,eNiko,.eclaire.,30:41,https://imgur.com/a/mcShWfH,Yes
7/5/2024 23:08:21,Nene,nene22,31:57,https://prnt.sc/BMd85eX41xmu,Yes
7/6/2024 10:02:12,apeirocell,apeirocell,32:45,https://prnt.sc/uUAma9NSWVlt,Yes
7/8/2024 15:44:30,Appels,appelsappelsappels,32:57,https://youtu.be/s8yFAXQ-OYc,Yes
7/5/2024 23:00:47,Guest_,Guest_,35:07,https://imgur.com/a/RabiW3j,Yes
7/9/2024 13:17:17,BloodyOrange,.bloodyorange,36:40,https://imgur.com/a/53E45PN,Yes
7/6/2024 4:24:07,Lit towel,littowel,37:33,https://imgur.com/a/Hdr57rO,Yes
7/5/2024 14:26:45,Parrot Dash,parrotdash,37:35,https://prnt.sc/khvKc7LrgGWN,Yes
7/6/2024 7:52:12,orchid,deadorchid,37:49,https://imgur.com/a/I6WVxkB,Yes
7/9/2024 0:20:28,BS_KNK,celebes_knk,37:58,https://www.youtube.com/watch?v=DOzSl3ktkMk,Yes
7/6/2024 9:57:22,te_79,te_79,38:23,https://imgur.com/a/4sf76f0,Yes
7/9/2024 11:40:04,Scrubz,Scrubz,39:24,https://youtu.be/St6cTEwa3_g,Yes
7/5/2024 18:17:59,juckter,juckter,40:26,https://www.youtube.com/watch?v=x7h0D-EujbM,Yes
7/8/2024 17:05:19,Logic Matthew,logic_matthew,40:05,https://drive.google.com/file/d/1vtRInh_BuW7V_0-H78yG_yvZh5rry1DE/view?usp=sharing,Yes
7/5/2024 14:35:07,GlerG,glerg,42:24,https://imgur.com/a/UxoTN1w,Yes
2024/7/6 12:33,不记得密码,不记得密码,44:45,https://imgur.com/a/xQnf8Wf,Yes
7/9/2024 14:24:37,NCG,NCG337,46:32,https://youtu.be/I5DRWO5DGgs,Yes
7/5/2024 15:42:01,Dogchamp,kappapa,49:09,https://prnt.sc/USSRQiEwY4bk,Yes
7/6/2024 11:24:08,Elekitu,elekitu,51:30,https://imgur.com/a/YgmMQEv,Yes
7/5/2024 14:58:24,Adam Korinek,Adam Korinek,52:17,https://prnt.sc/oD-tkYaX01oP,Yes
7/5/2024 21:44:01,Jitio,Jitio,53:37,https://www.twitch.tv/videos/2190289291,Yes
7/5/2024 14:20:46,kalypso,khallypso_,53:42,https://imgur.com/gallery/csc-week-4-klotski-qSqoSOO,Yes
7/9/2024 12:48:08,Brackets,brackets___,54:46,https://prnt.sc/5LfQHKVkQl_3,Yes
7/5/2024 14:36:21,Terus,terus3289,56:21,https://prnt.sc/zoxmHQhvWPa-,Yes
7/6/2024 3:52:44,Snowdrop,Snowdrop_rikka,56:33,https://imgur.com/a/rjFJcbq,Yes
7/6/2024 6:36:56,kinota3,kinota3,1:04:16,https://imgur.com/a/V1Ruoie,Yes
2024/7/6 13:12,没事儿爱唱歌,没事儿爱唱歌,1:04:58,https://imgur.com/a/l5EHj4z,Yes
7/7/2024 19:59:31,Pip,pipadmin,1:12:23,https://imgur.com/a/RrLIm0p,Yes
2024/7/6 23:54,Cyber-Clady,Cyber-Clady,1:14:18,https://b23.tv/iVNXKRB,Yes
7/7/2024 21:54:32,Sapphire_Xer0,Sapphire_Xer0,1:20:45,https://imgur.com/HAQ40rZ,Yes
7/5/2024 16:21:31,olive,olive__r,1:40:30,https://imgur.com/a/izk9yiK,Yes
7/6/2024 8:27:25,PejaDuos,PejaDuos,1:44:13,https://cdn.discordapp.com/attachments/1249796816254533665/1259153413485232209/SPOILER_image.png?ex=668aa57f&is=668953ff&hm=e4efb5b33b033c0706f94eef47fc32cffa289a0afa7c3127afc446dd102e1b50&,Yes
7/9/2024 6:15:22,Wojowu,wojowu,1:53:15,https://prnt.sc/-4i2QjS0nGNC,Yes
2024/7/9 9:59,ALSIHCT,ALSIHCT,1:55:11,https://imgur.com/a/b6cztfs,Yes
7/5/2024 19:03:16,burgerhex,burgerhex,2:06:31,https://imgur.com/a/chis4SB,Yes
