Timestamp,What is your username?,What is your discord username?,What was your score? (view https://gamebanana.com/mods/519896 for more calculation instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
6/29/2024 17:01:09,Parrot Dash,parrotdash,188,https://www.twitch.tv/videos/2184925994?t=01h59m29s,Yes
6/28/2024 15:34:31,Appels,appelsappelsappels,237,https://youtu.be/3wed3Rq9CZA,Yes
6/29/2024 23:10:05,WoahE,woahegg,301,https://www.twitch.tv/videos/2185402247,Yes
6/30/2024 13:47:28,Yoshachobi7,Yoshachobi7,350,https://www.youtube.com/watch?v=FGR1R3LCY3I,Yes
2024/6/29 4:22,He2D,He2D,389,https://imgur.com/a/ZjcYYLa,Yes
6/28/2024 17:06:51,juckter,juckter,398,https://youtube.com/watch?v=OYCOjC5Io7g,Yes
6/28/2024 18:33:33,Froggo,froggo____,400,https://imgur.com/a/pyYTydI,Yes
7/1/2024 7:14:05,BS_KNK,celebes_knk,403,https://www.twitch.tv/videos/2186433691,Yes
7/2/2024 12:25:39,lem,lemqns,453,https://prnt.sc/fp6EiJsWypw_,Yes
6/30/2024 21:08:47,olive,olive__r,456,https://imgur.com/a/z5A8cBQ,Yes
6/28/2024 23:03:08,Guest_,Guest_,494,https://imgur.com/a/Gn06PHf,Yes
6/28/2024 13:53:40,Dragon512,dragon512,499,https://discord.com/channels/912804360331874355/1249796816254533665/1256335781836882031,Yes
6/28/2024 14:26:33,Tnt_go_bang,tntgobang,509,https://imgur.com/a/MkgcG9e,Yes
6/28/2024 15:47:10,yujene,yujene,512,https://imgur.com/a/yujene-csc-week-3-8HOCW9J,Yes
2024/6/29 20:32,SheKong,SheKong,520,https://imgur.com/a/IrPwJDc,Yes
6/29/2024 16:17:21,Sapphire_Xer0,Sapphire_Xer0,548,https://imgur.com/a/SasIaKK,Yes
6/28/2024 17:19:26,Firework,@vuurwerkgd,552,https://discord.com/channels/912804360331874355/1249796816254533665/1256376586983309395,Yes
6/30/2024 11:15:10,Lion3cub,Lion3cub,552,https://imgur.com/hCG6k3I,Yes
6/28/2024 14:54:23,Vincent,i.am.vincent,585,https://prnt.sc/GE1hf4qwFNWs,Yes
2024/6/29 5:12,桦树ovo,桦树ovo,609,https://imgur.com/a/RgdHjtz,Yes
6/29/2024 0:30:07,Nene,nene22,612,https://cdn.discordapp.com/attachments/1249796816254533665/1256495499071193119/SPOILER_20240628232231_1.jpg?ex=6680fa1f&is=667fa89f&hm=467980d21a8a36f91af0b192029976b3a3a22fb9466e16dae81ef293fc0861f2&,Yes
2024/6/29 13:05,啊鸿呀i,啊鸿呀i,636,https://imgur.com/a/MChHfEZ,Yes
