Timestamp,What is your username?,What is your discord username?,What was your score? (view https://gamebanana.com/mods/519896 for more calculation instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
6/28/2024 14:02:10,Viv,vividescence,661,https://imgur.com/a/f5hXoOA,Yes
2024/6/29 15:56,没事儿爱唱歌,没事儿爱唱歌,689,https://imgur.com/a/2TlkVYB,Yes
6/28/2024 23:05:16,Sir Jiggle,Sir Jiggle,717,https://prnt.sc/hroTM4DCz9ip,Yes
6/28/2024 16:08:14,leiz123321,leiz123321,760,https://imgur.com/a/mFmTshb,Yes
6/30/2024 18:56:40,Sevadra,sevadra,786,https://imgur.com/a/yp8RQP0,Yes
6/28/2024 17:26:16,ArvingoPro,arvingopro,812,https://imgur.com/a/first-sightreading-week-leviations-100-traps-2-ZX8P7BU,Yes
6/30/2024 15:18:46,unfandemcmillen,unfandemcmillen,817,https://imgur.com/a/8NsyOj1,Yes
6/28/2024 15:14:38,NCG,NCG337 (resubmission to fix scoring),820,https://prnt.sc/FUCmyMtttlAF,Yes
6/28/2024 15:46:26,burgerhex,burgerhex,828,https://imgur.com/a/xAMMw65,Yes
2024/6/29 4:22,AppleSheep,AppleSheep,835,https://imgur.com/a/vRSEhAC,Yes
2024/6/29 16:04,Jicforgot,Jicforgot,907,https://imgur.com/a/cIBSmSi,Yes
2024/6/29 14:56,DSS,DSS,908,https://imgur.com/a/Hsstb5Q,Yes
6/28/2024 20:54:32,Goldenfaf,Goldenfaf,927,https://imgur.com/gallery/csc-week-3-WozI0nJ,Yes
6/28/2024 15:13:27,catgoose,catgoose39,933,https://www.youtube.com/watch?v=eiPCncgLp88,Yes
6/28/2024 15:12:46,Feesh,pufferfeesh_,973,https://imgur.com/a/GC9oayl,Yes
6/28/2024 20:35:58,deesoff,deesoff,978,https://youtu.be/lgMFE7l4OEg,Yes
6/30/2024 17:45:14,shiige,shiige (shii_ge),1005,https://imgur.com/IfqUai7,Yes
6/30/2024 12:23:39,Elekitu,elekitu,1017,https://imgur.com/a/8dnHyp9,Yes
7/1/2024 10:36:44,apeirocell,apeirocell,1021,https://prnt.sc/QMVdufhzNUG3,Yes
7/1/2024 4:53:58,tart,tart1997,1083,https://imgur.com/a/CtJ5nvP,Yes
6/28/2024 20:22:50,miyaryu,miyaryu,1100,https://imgur.com/a/hxC6mK3,Yes
7/1/2024 20:39:23,Scrubz,Scrubz,1115,https://youtu.be/k0vN4u_EBiU,Yes
6/28/2024 14:58:16,Obsidia_X,obsidia_x,1125,https://imgur.com/a/4ENUGQ9,Yes
6/30/2024 14:01:08,nonoji(のの字),Non0ji,1125,https://imgur.com/a/Ca7WhCY,Yes
2024/6/29 12:11,mogmo,mogmo,1151,https://imgur.com/a/v1ELvZJ,Yes
6/28/2024 23:30:35,Summer,_epiphany.,1174,https://prnt.sc/AtE8whArCQnu,Yes
6/29/2024 10:18:24,AmberBolt,amber_bolt,1188,https://imgur.com/a/FbD5nWn,Yes
2024/6/29 10:35,Merci_u,Merci_u,1233,https://imgur.com/a/U9l5pez,Yes
2024/6/29 12:37,不记得密码,不记得密码,1238,hfgdhdfg,Yes
7/1/2024 11:35:50,BirdoPrey,.birdoprey,1295,https://imgur.com/a/Wa17Gar,Yes
6/28/2024 14:40:07,theredpro,theredpro,1307,https://imgur.com/a/7Y7Nd0p,Yes
7/1/2024 14:58:05,autumn890,autumn890,1362,https://imgur.com/a/100-traps-2-submission-OcodBud,Yes
6/29/2024 21:23:10,Mars Bars,itsmarsbars,1376,https://prnt.sc/m-ooPZ5rO---,Yes
7/1/2024 14:01:07,ethio,ethio_,1408,https://imgur.com/a/gFfdgYx,Yes
6/28/2024 15:24:39,Pixel_Yosh,pixel_yosh,1425,https://imgur.com/A3dDnfP,Yes
2024/6/29 13:06,创世Creater,创世Creater,1436,https://imgur.com/a/UM6dcZ7,Yes
6/28/2024 22:25:00,Nyan,ppnyan,1463,https://prnt.sc/Saoym4OjDpr1,Yes
6/29/2024 22:43:46,Jeremyiscool,jeremyiscool,1464,https://imgur.com/a/pEmRcSP,Yes
6/28/2024 17:27:25,Average Steam User,averagesteamuser,1513,https://imgur.com/a/IOAcxb5,Yes
7/1/2024 15:00:37,B1ackZer0,B1ackZer0,1590,https://imgur.com/a/HBeedmX,Yes
6/29/2024 1:09:30,eNiko,.eclaire.,1674,https://imgur.com/a/fA0j8cC,Yes
6/29/2024 7:25:10,OSoverspike,osoverspike,1674,https://youtu.be/nKb7MlaZ9Go,Yes
7/1/2024 6:18:14,toneblock,toneblock,1725,https://prnt.sc/zdph3PBBNcSD,Yes
6/29/2024 8:22:11,Player696103392,Player696103392,1744,https://imgur.com/a/ZR1nxWt,Yes
6/29/2024 1:06:35,Brackets,brackets___,1786,https://prnt.sc/68DufnYegbMd,Yes
6/28/2024 16:44:14,Adam Korinek,Adam Korinek,1805,https://prnt.sc/KwjHwexsZ9m_,Yes
2024/6/29 15:24,zhujiao,zhujiao,1922,https://imgur.com/a/obaoKtw,Yes
6/28/2024 19:37:50,Blacklight,Blacklight_____,2045,https://imgur.com/a/vwnoCmA,Yes
6/29/2024 15:45:55,Dector,dector_,2160,https://imgur.com/a/yRI9THg,Yes
7/2/2024 8:37:59,Wojowu,wojowu,2177,https://prnt.sc/DRL0W_LP5PdD,Yes
6/28/2024 15:27:55,Lit towel,littowel,2273,https://imgur.com/a/07ASXYz,Yes
2024/6/30 12:50,ALSIHCT,ALSIHCT,2372,https://prnt.sc/LXC2CGPqdl4z,Yes
6/29/2024 1:44:02,Jitio,Jitio,2463,https://i.imgur.com/jvKERz5.png,Yes
2024/6/29 14:05,不可逆,不可逆,2513,https://imgur.com/a/By3Fkba,Yes
6/29/2024 0:33:39,pikmike,pikmike,2702,https://imgur.com/a/rX60aHb,Yes
6/28/2024 18:34:02,beanyboi,@that_beanyboi,2753,https://imgur.com/a/iAJtr6t,Yes
6/28/2024 20:22:38,woxens,woxens,2799,https://imgur.com/a/k8CXlXo,Yes
7/2/2024 1:07:47,Pip,pipadmin,2874,https://imgur.com/a/8A1kvwF,Yes
6/28/2024 14:23:41,GlerG,glerg,3016,https://imgur.com/a/0A89vmD,Yes
6/30/2024 8:06:29,te_79,te_79,3043,https://imgur.com/a/Y0cpO8m,Yes
6/29/2024 9:22:23,Terus,terus3289,3383,https://prnt.sc/pcH07aRHvZmV,Yes
6/29/2024 22:17:27,NagKai,NagKai,3631,https://discord.com/channels/912804360331874355/1249796816254533665/1256824970789650452,Yes
6/29/2024 7:29:44,Snowdrop,Snowdrop_rikka,3913,https://imgur.com/a/eYBUFIN,Yes
6/28/2024 14:52:00,Meowlissa,wMeowlissa,4449,https://imgur.com/xmSOksG,Yes
6/28/2024 15:04:36,fillertext,fillertext,4567,https://imgur.com/a/J3uBGSa,Yes
2024/6/29 18:51,daisy,daisy,6584,https://imgur.com/a/iwMUn2J,Yes
2024/6/29 20:21,幻天,幻天,10753,https://imgur.com/a/gjU0QPx,Yes
6/29/2024 16:02:33,Incompleteusern,Incompleteusern,121275,https://prnt.sc/wl_CIwjpVtiq,Yes
6/29/2024 22:45:16,bayblade5077,bayblade5077,186112,https://imgur.com/a/eIoxmAM,Yes
