Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/2/2024 0:53:52,ZKB,zkb_,-1:49,https://youtu.be/9LFIsOhYLBU,Yes
9/2/2024 9:55:53,Appels,appelsappelsappels,0:51,https://youtu.be/mDbNE7gJoqk,Yes
8/31/2024 2:23:23,Rafix,rafix8179,2:10,https://youtu.be/2Pp2uh-NVbM?si=5w1ZJKsDuP1MIRhi,Yes
8/31/2024 9:56:10,Guest_,Guest_,2:38,https://youtu.be/mowDsKJrUMY,Yes
8/31/2024 7:33:54,wafflemaster608,wafflemaster608,6:15,https://imgur.com/a/buR6uYu,Yes
9/2/2024 13:40:27,Parrot Dash,parrotdash,6:19,https://www.twitch.tv/videos/2240977017,Yes
8/31/2024 2:32:49,Div,divitile,8:02,https://imgur.com/a/xoQB0PG,Yes
8/30/2024 12:15:10,Whiskeyjack,whiskeyjack3741,9:19,https://cdn.discordapp.com/attachments/1249796816254533665/1279157253257166888/SPOILER_20240830191240_1.jpg?ex=66d36b86&is=66d21a06&hm=5f2b70c47591293bc65efe9ae059ff6e682d196e05b461d165323659a39977cf&,Yes
8/30/2024 12:15:10,Bread,Bread,10:05,https://prnt.sc/yNouamJ1UH5u,Yes
9/3/2024 7:14:37,BS_KNK,celebes_knk,11:35,https://i.imgur.com/Wvg4Q68.png,Yes
8/30/2024 13:20:51,Nyan,ppnyan,12:51,https://prnt.sc/oCpbflRfgRjZ,Yes
9/1/2024 14:36:07,lem,lemqns,12:58,https://prnt.sc/t6dS169e7k9g,Yes
9/2/2024 10:03:17,leiz123321,leiz123321,13:42,https://imgur.com/a/WfVLPap,Yes
8/30/2024 12:21:19,YeetTheTable,YeetTheTable,14:00,https://imgur.com/a/SB5KSt4,Yes
9/3/2024 10:05:45,juckter,juckter,14:50,https://prnt.sc/MhdLT49QLVJF,Yes
8/31/2024 11:21:04,AmberBolt,amber_bolt,15:20,https://youtu.be/yNgi9BH_Rs8,Yes
8/30/2024 12:23:04,Rilp_,rilp_,15:48,https://imgur.com/a/vglTA0c,Yes
8/30/2024 12:26:18,goooat,goooat,15:49,https://imgur.com/a/4gANlpM,Yes
8/31/2024 11:27:21,Sapphire_Xer0,Sapphire_Xer0,16:38,https://imgur.com/Sg3aOcY,Yes
9/1/2024 22:00:00,Ecl1psed,Ecl1psed,17:44,https://imgur.com/a/NIQhbzr,Yes
8/30/2024 12:15:10,啊鸿呀i,啊鸿呀i,21:45,https://prnt.sc/eA5bRgUCG5vA,Yes
8/30/2024 15:49:23,Im_Pickle_Sus,im_pickle_sus,22:51,https://imgur.com/a/O1lz9Gw,Yes
9/2/2024 22:14:43,Scrubz,Scrubz,24:12,https://youtu.be/OaRjPh1sUS8,Yes
8/30/2024 12:15:10,付雪,付雪,28:40,https://prnt.sc/4vO-O6iHZSxZ,Yes
8/31/2024 15:59:37,Brst,Brst,28:53,https://youtu.be/xD01fBMeLSk,Yes
9/2/2024 9:50:16,Blacklight,blacklight_____,35:01,https://imgur.com/a/ikwV0Bo,Yes
9/2/2024 2:24:57,z0teling,z0teling,41:48,https://imgur.com/a/HOHzo4s,Yes
9/1/2024 7:34:54,Player696103392,Player696103392,41:51,https://imgur.com/a/79Dz27c,Yes
8/30/2024 12:15:10,寂冷qing淡,寂冷qing淡,42:09,https://prnt.sc/K8MMzzqiV4wJ,Yes
8/30/2024 14:01:59,Adam Korinek,Adam Korinek,48:03,https://prnt.sc/Tshx12WyifH0,Yes
8/31/2024 11:54:44,NagKai,NagKai,57:14,https://discord.com/channels/912804360331874355/1249796816254533665/1279514534973018182,Yes
8/30/2024 12:15:10,zhujiao,zhujiao,57:41,https://prnt.sc/4GeFjUYVgIF3,Yes
9/2/2024 12:18:48,Keehle,keehle,1:04:41,https://imgur.com/a/4k7w4cp,Yes
8/31/2024 7:01:34,te_79,te_79,1:11:53,https://imgur.com/a/lxXNFwF,Yes
8/30/2024 12:15:10,不记得密码,不记得密码,1:24:41,https://prnt.sc/6k5rtW0zFxzM,Yes
9/2/2024 4:33:24,Snowdrop,Snowdrop_rikka,1:36:47,https://imgur.com/a/4PGyVdJ,Yes
9/5/2024 13:20:15,Wojowu,wojowu,1:57:33,https://prnt.sc/g83-YaeVUdCo,Yes
