Timestamp,What is your username?,What is your discord username?,What was your clear time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/13/2024 14:30:40,Appels,appelsappelsappels,14:43,https://youtu.be/FYhAY69CDH0,Yes
9/17/2024 3:56:20,ZKB,zkb_,17:17,https://youtu.be/ivz5DbSwKWg,Yes
9/14/2024 18:12:14,Parrot Dash,parrotdash,18:00,https://www.twitch.tv/videos/2251277888,Yes
9/17/2024 12:20:31,Bread,Bread,19:30,https://prnt.sc/vprRq2zPt9Hn,Yes
9/13/2024 21:27:09,Guest_,Guest_,20:17,https://youtu.be/fCgXnILOODQ,Yes
9/13/2024 11:43:44,Whiskeyjack,whiskeyjack3741,20:20,https://cdn.discordapp.com/attachments/1249796816254533665/1284222756422156309/SPOILER_20240913183850_1.jpg?ex=66e5d924&is=66e487a4&hm=4e9e6678542028d57f948c2163a36247d91f2e4deb2f05c791f171572e29591d&,Yes
9/13/2024 11:40:25,Nyan,ppnyan,21:57,https://prnt.sc/rMHWR6w5edVb,Yes
9/14/2024 14:11:17,CVZen,cvzen,22:01,https://imgur.com/a/BvvnX5e,Yes
9/13/2024 12:45:55,juckter,juckter,22:39,https://prnt.sc/ZWw2gajcojuH,Yes
9/16/2024 6:54:50,BS_KNK,celebes_knk,23:16,https://i.imgur.com/OdVa9WU.png,Yes
9/17/2024 12:20:31,啊鸿呀i,啊鸿呀i,24:26,https://prnt.sc/VfOyTTlh026a,Yes
9/14/2024 16:50:10,leiz123321,leiz123321,25:34,https://imgur.com/a/7qULCiH,Yes
9/17/2024 12:20:31,不记得密码,不记得密码,28:06,https://prnt.sc/muFh2_YfIVbN,Yes
9/13/2024 18:39:01,JustinTime,JustinTime,29:05,https://imgur.com/a/csc-maps-GkJvTxW,Yes
9/14/2024 9:31:21,AmberBolt,amber_bolt,30:31,Video: https://youtu.be/Z2nMjdk6exg | Journal Image: https://imgur.com/a/pSX5r8j,Yes
9/13/2024 14:00:41,Adam Korinek,Adam Korinek,36:39,https://prnt.sc/M16SW3tG7VW6,Yes
9/17/2024 12:20:31,Toby,tc_28683,37.11,https://imgur.com/a/tIJkBEm,Yes
9/17/2024 2:13:23,Player696103392,Player696103392,38:15,https://imgur.com/a/e41kF5o,Yes
9/17/2024 11:09:32,Scrubz,Scrubz,38:51,https://youtu.be/LUiZjMhbU7Q,Yes
9/14/2024 9:30:14,te_79,te_79,44:03,https://imgur.com/a/ZAkBl9S,Yes
9/13/2024 12:10:45,Pixel_Yosh,Pixel_Yosh,46:13,https://imgur.com/tLAqIvn,Yes
9/13/2024 13:40:52,Snowdrop,Snowdrop_rikka,54:41,https://imgur.com/a/pzfs83S,Yes
9/14/2024 10:06:58,NagKai,NagKai,55:40,https://discord.com/channels/912804360331874355/1249796816254533665/1284560355284094998,Yes
9/17/2024 12:20:31,ALSIHCT,ALSIHCT,1:07:31,https://prnt.sc/BPBKKP9PWexJ,Yes
9/16/2024 11:15:04,Terus,terus3289,1:09:26,https://prnt.sc/8sy19ttKJYb2,Yes
9/17/2024 4:45:41,Wojowu,wojowu,1:10:21,https://prnt.sc/rdKDMYxKrQrZ,Yes
