Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
10/7/2024 13:38:57,Appels,appelsappelsappels,10:51,https://youtu.be/cZHzHYuD1Yk,Yes
10/7/2024 13:05:16,Whiskeyjack,whiskeyjack3741,12:07,https://www.youtube.com/watch?v=rZhhFKmYf84,Yes
10/8/2024 11:48:31,Parrot Dash,Parrot Dash,12:48,https://www.twitch.tv/videos/2272089473,Yes
10/4/2024 19:15:13,Guest_,Guest_,10:42 (no vid),https://imgur.com/a/LHU9Bja,Yes
10/6/2024 12:00:16,Cookie,catastrophic_cookie,13:01,https://youtu.be/nWNsbFQrtD4,Yes
10/8/2024 11:48:31,Bread,Bread,14:24,https://prnt.sc/FMe5i0BNIYgb,Yes
10/8/2024 4:42:16,DuckUwU,DuckUwU,16:10,https://imgur.com/a/GjK8ChM,Yes
10/6/2024 4:44:44,Player696103392,Player696103392,17:45,https://imgur.com/a/gOIof56,Yes
10/6/2024 7:58:34,AmberBolt,amber_bolt,17:54,https://youtu.be/umGGYP5fOb4,Yes
10/5/2024 18:01:32,Pixel_Yosh,Pixel_Yosh,20:15,https://imgur.com/In5cboe,Yes
10/4/2024 12:56:33,juckter,juckter,23:11,https://prnt.sc/RQIFPTH_h75o,Yes
10/4/2024 15:52:07,GlerG,glerg,26:46,https://imgur.com/a/pPJbaVB,Yes
10/6/2024 14:40:02,Wojowu,wojowu,29:25,https://prnt.sc/3MYokr9595zK,Yes
10/8/2024 11:48:31,NagKai,NagKai,29:51,https://discord.com/channels/912804360331874355/1249796816254533665/1293283652091904073,Yes
10/5/2024 11:53:26,Keehle,keehle,31:46,https://imgur.com/a/61ffji7,Yes
10/4/2024 14:34:57,Snowdrop,Snowdrop_rikka,32:40,https://imgur.com/a/VVrWbD4,Yes
10/4/2024 13:59:24,Toby,tc_28683,1:25:06,https://imgur.com/a/WBVK46O,Yes
