Timestamp,What is your username?,What is your discord username?,What was your clear time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/28/2024 12:55:03,Appels,appelsappelsappels,14:17,https://youtu.be/uB9a_9pV1Ws,Yes
9/27/2024 12:36:44,Cookie,catastrophic_cookie,15:36,https://imgur.com/gallery/csc-week-15-psychedelic-sundown-RxrrPmp,Yes
9/28/2024 6:08:49,BS_KNK,celebes_knk,15:58,https://www.twitch.tv/videos/2262481237,Yes
9/28/2024 3:12:31,Whiskeyjack,whiskeyjack3741,14:22 (no vid),https://cdn.discordapp.com/attachments/1249796816254533665/1289516123737559133/SPOILER_20240928091502_1.jpg?ex=66f91af9&is=66f7c979&hm=9595ab2ab14fea6219867d3bc15c40842b1313bb98ffd67011f9c926f4f6490b&,Yes
9/28/2024 21:35:51,Guest_,Guest_,14:47 (no vid),https://imgur.com/a/3MtJlIw,Yes
10/1/2024 9:35:11,Parrot Dash,parrotdash,17:46,https://www.twitch.tv/videos/2265035089,Yes
10/2/2024 0:48:21,CrèmeBrûlée/ZKB,cremebrulees,18:26,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
9/28/2024 8:52:42,unfandemcmillen,unfandemcmillen,18:36,https://imgur.com/a/t5ViJ3l,Yes
9/30/2024 12:43:12,Bread,Bread,19:00,https://prnt.sc/FjKx6khAdOID,Yes
9/29/2024 3:39:06,Player696103392,Player696103392,22:55,https://imgur.com/a/FiCapHr,Yes
9/30/2024 0:34:57,juckter,juckter,23:56,https://prnt.sc/nSm8Ufn_B9mX,Yes
9/27/2024 18:18:08,Toby,tc_28683,24:26,https://imgur.com/a/8UV0u75,Yes
9/27/2024 13:57:55,Nyan,ppnyan,25:44,https://prnt.sc/z0DjwbjxSW6s,Yes
9/27/2024 22:29:56,dewdrop,dewdrop.h,28:11,https://imgur.com/a/5XW5GpO,Yes
9/28/2024 13:29:07,AmberBolt,amber_bolt,29:54,https://youtu.be/uQG90tx5A2w,Yes
9/27/2024 12:52:46,rilp_,rilp_,30:38,https://imgur.com/a/WzFKyTw,Yes
9/27/2024 13:36:25,Pixel_Yosh,Pixel_Yosh,37:32,https://imgur.com/AAENwMj,Yes
9/28/2024 9:03:56,Snowdrop,Snowdrop_rikka,39:21,https://imgur.com/a/RLZKuLL,Yes
9/30/2024 0:17:05,SRN,srn_rl,39:59,https://imgur.com/a/fhBIBsc,Yes
9/28/2024 11:31:35,te_79,te_79,44:09,https://imgur.com/a/XODeICZ,Yes
9/29/2024 16:37:43,NagKai,NagKai,45:03,https://discord.com/channels/912804360331874355/1249796816254533665/1290094859910254663,Yes
9/28/2024 18:21:52,JazzyJonah,jazzyjonah,48:37,https://imgur.com/a/mmGBEbI,Yes
10/1/2024 10:19:19,Scrubz,Scrubz,48:53,https://youtu.be/WOd7ygRQIeU,Yes
9/30/2024 12:43:12,Terus,terus3289,53:52,https://prnt.sc/rBvvJODe8YnT,Yes
