Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
10/29/2024 0:56:33,Cookie,catastrophic_cookie,7:08,https://youtu.be/GqjOVfTbhiA ,Yes
10/26/2024 5:12:07,Whiskeyjack,whiskeyjack3741,7:44,https://www.youtube.com/watch?v=pv6eH5FUGjA,Yes
10/26/2024 22:04:11,Ecl1psed,Ecl1psed,7:46,https://files.catbox.moe/ew84kn.jpg,Yes
10/25/2024 20:40:51,Guest_,Guest_,7:32 (no vid),https://imgur.com/a/fSFYIuE,Yes
10/28/2024 9:05:11,AmberBolt,amber_bolt,7:49,https://youtu.be/0uzHdsju-Ic,Yes
10/29/2024 5:14:29,Appels,appelsappelsappels,7:53,https://youtu.be/iSRuZSEEusM,Yes
10/25/2024 12:43:28,Div,divitile,7:57,https://imgur.com/a/cJfGdE0,Yes
10/26/2024 11:05:50,Toby,tc_28683,8:07,https://imgur.com/a/Zj0tlds,Yes
10/25/2024 12:46:40,UKiran,ukiran,8:16,https://prnt.sc/gPK-cOK-LYv_,Yes
10/29/2024 15:08:43,Player696103392,Player696103392,8:28,https://imgur.com/a/mVKXy8D,Yes
10/25/2024 12:45:19,snakesphere,snakesphere,8:35,https://youtu.be/ueYXDNrDsCs,Yes
10/29/2024 13:32:55,Terus,terus3289,8:49,https://prnt.sc/_ECCOseNJ7an,Yes
10/25/2024 19:45:18,Malty,malty1,8:50,https://imgur.com/a/SrWfhmO,Yes
10/27/2024 5:14:07,Wojowu,wojowu,9:05,https://prnt.sc/Kq5394gGXHeB,Yes
10/25/2024 12:52:51,karl2883,karl2883,9:08,https://imgur.com/a/Yrk3a1o,Yes
10/25/2024 13:37:49,BloodyOrange,.bloodyorange,9:20,https://imgur.com/a/62F9nXv,Yes
10/25/2024 13:18:28,Sarah,husky192,9:30,https://discord.com/channels/912804360331874355/1249796816254533665/1299465850339725404,Yes
10/26/2024 11:53:28,Tryobyte,tryobytee,9:46,https://imgur.com/ZvsFPlv,Yes
10/29/2024 10:46:23,angelellipsis,angelellipsis,10:35,https://imgur.com/a/ZoIaqaF,Yes
10/25/2024 12:47:06,Snowdrop,Snowdrop_rikka,10:57,https://imgur.com/a/bKmPZHx,Yes
10/26/2024 15:11:45,SRN,srn_rl,11:00,https://imgur.com/a/kQ3kNCF,Yes
10/25/2024 18:33:52,JazzyJonah,jazzyjonah,14:12,https://imgur.com/a/4brDHDU,Yes
