Timestamp,What is your username?,What is your discord username?,What score did you get? (view https://gamebanana.com/mods/519339 for score instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
6/21/2024 12:54:04,toneblock,toneblock,934,https://prnt.sc/8K3_r7glxr7z,Yes
6/22/2024 12:45:12,Summer,_epiphany.,930,https://prnt.sc/SSXfB_2uZcV-,Yes
6/22/2024 1:31:24,SRN,srn_rl,930,https://imgur.com/a/YW4psVv,Yes
6/21/2024 12:53:11,Snowdrop,Snowdrop_rikka,928,https://imgur.com/a/B5NhqjW,Yes
6/21/2024 12:43:02,catgoose,catgoose39,922,https://imgur.com/a/5d5LzEj,Yes
6/22/2024 2:34:52,Jitio,Jitio,922,https://i.imgur.com/f8ULoFU.png,Yes
6/22/2024 14:14:00,猪脑子,猪脑子,922,https://imgur.com/a/2NbVKmS,Yes
6/22/2024 12:53:45,te_79,te_79,920,https://imgur.com/xv1x7kP,Yes
6/22/2024 22:32:09,Julia_1439,julia_bwah,920,https://imgur.com/a/aHX5TSX,Yes
6/24/2024 9:14:30,Sarah,husky192,920,https://discord.com/channels/912804360331874355/1249796816254533665/1254816712591671367,Yes
6/21/2024 15:41:13,Blacklight,blacklight_____,916,https://imgur.com/a/cJEuSIT,Yes
6/21/2024 14:06:06,Umbra920,umbra920,914,https://prnt.sc/hKXJVLWublnV,Yes
6/22/2024 8:38:00,不可逆,不可逆,914,https://www.bilibili.com/video/BV161421r7Na/?p=2,Yes
6/25/2024 13:36:00,卡斯基斯洛文尼亚,卡斯基斯洛文尼亚,914,https://www.bilibili.com/video/BV1cH4y1w7qn/,Yes
6/23/2024 11:21:01,z0teling,z0teling,910,https://imgur.com/a/qUP5F42,Yes
6/24/2024 22:21:00,ALSIHCT,ALSIHCT,898,https://prnt.sc/ZP2KYnc6zqL7,Yes
6/23/2024 10:23:26,Terus,terus3289,892,https://prnt.sc/MdD-DCQGYFh4,Yes
6/21/2024 19:32:01,Projecteer,Projecteer,888,https://prnt.sc/b-zZoFmbqpUi,Yes
6/21/2024 13:22:37,Dr4zz,dr4zz,882,https://imgur.com/a/8obGf6K,Yes
6/21/2024 13:22:37,BirdoPrey,.birdoprey,880,https://imgur.com/a/BOzrytx,Yes
6/21/2024 12:59:52,Infringie,infringie,878,https://files.catbox.moe/v40tmn.png,Yes
6/21/2024 12:41:01,Wojowu,wojowu,876,https://prnt.sc/eq6gWEtIbboK,Yes
6/25/2024 7:43:14,Scarecrows,awesum8r,876,https://imgur.com/a/dR2Pg2K,Yes
6/21/2024 14:54:35,xoxol,xoxl1k,870,https://youtu.be/H-fpT7fv4FY,Yes
6/22/2024 9:37:00,Cyber-Clady,Cyber-Clady,870,https://b23.tv/4hYISSB,Yes
6/25/2024 7:49:16,Fathom,Fathom,864,https://imgur.com/a/WK25XDQ,Yes
