Timestamp,What is your username?,What is your discord username?,What was your clear time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/27/2024 14:22:46,Cookie,catastrophic_cookie,50:54,https://youtu.be/ymQrCadtJqs,Yes
10/1/2024 9:35:15,Parrot Dash,parrotdash,1:02:57,https://www.twitch.tv/videos/2265035089,Yes
9/28/2024 6:09:50,BS_KNK,celebes_knk,1:08:25,https://www.twitch.tv/videos/2262481809,Yes
9/28/2024 21:36:10,Guest_,Guest_,38:35 (no vid),https://imgur.com/a/3MtJlIw,Yes
9/28/2024 8:51:52,unfandemcmillen,unfandemcmillen,55:37 (no vid),https://imgur.com/a/kcGUARD,Yes
9/28/2024 5:30:21,Whiskeyjack,whiskeyjack3741,1:11:06,https://cdn.discordapp.com/attachments/1249796816254533665/1289564620008456283/SPOILER_20240928122822_1.jpg?ex=66f94824&is=66f7f6a4&hm=2f8b022293e272c82c5cf7360f84d904d685b3f6d9a46ce221a836931dc6017e&,Yes
9/29/2024 3:39:13,Player696103392,Player696103392,1:19:47,https://imgur.com/a/FiCapHr,Yes
9/28/2024 13:30:47,AmberBolt,amber_bolt,1:29:11,https://youtu.be/KcDeusgZbmY,Yes
9/30/2024 0:35:48,juckter,juckter,1:51:35,https://prnt.sc/8a0KFC8PMD4z,Yes
9/30/2024 18:24:53,ProwriterX1,prowriterx1_90472,2:13:07,https://www.youtube.com/playlist?list=PLAreyC6noSIU-Olp8ITOEYOnVnbtsPsQL,Yes
10/1/2024 13:53:48,Pixel_Yosh,Pixel_Yosh,3:38:21,https://imgur.com/BgZx0zT,Yes
9/28/2024 9:04:55,Snowdrop,Snowdrop_rikka,4:09:02,https://imgur.com/a/yOLfIrb,Yes
9/30/2024 11:13:27,NagKai,NagKai,4:39:37,https://discord.com/channels/912804360331874355/1249796816254533665/1290375384659001386,Yes
9/28/2024 14:13:28,Appels,AppelsIsDisqualified,45:42 (touhoe accidentally gaslit appels into cheating),https://youtu.be/Nd6uzN3AohU,Yes
